Country,Happiness score,Year,latitude,longitude,GDP,Healthy life expectancy,Corruption
Finland,1.0,2021,61.92411,25.748151,10.775,72.0,0.186
Denmark,0.91,2021,56.26392,9.501785,10.933,72.7,0.179
Switzerland,0.9,2021,46.818188,8.227512,11.117,74.4,0.292
Iceland,0.89,2021,64.963051,-19.020835,10.878,73.0,0.673
Netherlands,0.86,2021,52.132633,5.291266,10.932,72.4,0.338
Norway,0.83,2021,60.472024,8.468946,11.053,73.3,0.27
Sweden,0.82,2021,60.128161,18.643501,10.867,72.7,0.237
Luxembourg,0.81,2021,49.815273,6.129583,11.647,72.6,0.386
New Zealand,0.79,2021,-40.900557,174.885971,10.643,73.4,0.242
Austria,0.79,2021,47.516231,14.550072,10.906,73.3,0.481
Australia,0.76,2021,-25.274398,133.775136,10.796,73.9,0.442
Israel,0.75,2021,31.046051,34.851612,10.575,73.503,0.753
Germany,0.75,2021,51.165691,10.451526,10.873,72.5,0.46
Canada,0.73,2021,56.130366,-106.346771,10.776,73.8,0.415
Ireland,0.73,2021,53.41291,-8.24389,11.342,72.4,0.363
Costa Rica,0.72,2021,9.748917,-83.753428,9.88,71.4,0.809
United Kingdom,0.72,2021,55.378051,-3.435973,10.707,72.5,0.459
Czech Republic,0.69,2021,49.817492,15.472962,10.556,70.807,0.868
United States,0.69,2021,37.09024,-95.712891,11.023,68.2,0.698
Belgium,0.65,2021,50.503887,4.469936,10.823,72.199,0.646
France,0.61,2021,46.227638,2.213749,10.704,74.0,0.571
Bahrain,0.6,2021,25.930414,50.637772,10.669,69.495,0.722
Malta,0.58,2021,35.937496,14.375416,10.674,72.2,0.653
Taiwan,0.58,2021,23.69781,120.960515,10.871,69.6,0.721
United Arab Emirates,0.57,2021,23.424076,53.847818,11.085,67.333,0.589
Saudi Arabia,0.55,2021,23.885942,45.079162,10.743,66.603,0.684
Spain,0.55,2021,40.463667,-3.74922,10.571,74.7,0.745
Italy,0.55,2021,41.87194,12.56738,10.623,73.8,0.866
Slovenia,0.54,2021,46.151241,14.995463,10.529,71.4,0.806
Guatemala,0.54,2021,15.783471,-90.230759,9.053,64.958,0.775
Uruguay,0.54,2021,-32.522779,-55.765835,9.966,69.1,0.59
Singapore,0.52,2021,1.352083,103.819836,11.488,76.953,0.082
Kosovo,0.52,2021,42.602636,20.902977,9.318,63.813,0.917
Slovakia,0.51,2021,48.669026,19.699024,10.369,69.201,0.911
Brazil,0.51,2021,-14.235004,-51.92528,9.577,66.601,0.756
Mexico,0.51,2021,23.634501,-102.552784,9.859,68.597,0.799
Jamaica,0.5,2021,18.109581,-77.297508,9.186,67.5,0.884
Lithuania,0.49,2021,55.169438,23.881275,10.499,67.906,0.826
Cyprus,0.48,2021,35.126413,33.429859,10.576,73.898,0.844
Estonia,0.47,2021,58.595272,25.013607,10.481,68.8,0.527
